VOTER_ID_100,wave 1 stong democrat,wave 2 stong republican
112407,0,1
430544,0,0
233730,0,1
600472,0,0
372836,0,0
517105,0,1
227654,0,0
398744,0,0
303416,0,0
363126,0,0
267290,0,0
79649,0,0
112783,0,1
179493,0,0
438098,0,0
195970,0,0
263321,0,1
582842,0,0
285964,0,0
105304,0,0
422381,0,0
188973,0,0
616373,0,0
277647,0,0
531814,0,0
161473,0,0
20848,0,0
503733,0,1
87473,0,1
298973,0,0
311665,0,1
630432,0,0
315724,0,1
455589,0,0
603442,0,1
558999,0,1
42692,0,0
483244,0,0
525629,0,0
476264,0,1
333713,0,0
564076,0,0
206297,0,0
561237,0,0
451083,0,0
438412,0,0
405225,0,0
449919,0,0
602282,0,0
512037,0,0
629326,0,0
223620,0,1
292008,0,1
614205,0,0
255547,0,0
399886,0,0
447821,0,0
84354,0,0
205429,0,0
479620,0,0
600198,0,1
162287,0,1
382600,0,1
44963,0,0
216508,0,0
579987,0,0
469502,0,1
341478,0,0
233697,0,0
262985,0,0
188794,0,1
362762,0,0
307262,0,0
305234,0,0
87940,0,1
329164,0,0
7671,0,0
276280,0,0
349875,0,1
183509,0,1
54441,0,0
49062,0,0
472312,0,1
352048,0,1
327468,0,0
420187,0,0
298336,0,0
11271,0,0
5209,0,0
584166,0,1
166296,0,1
25309,0,1
622501,0,0
90225,0,0
499635,0,0
327529,0,0
183338,0,1
95922,0,0
10495,0,0
344248,0,0
