VOTER_ID_100,Moved from Republican to Democrat to between wave 1 and wave 2 IDs, Moved from Democrat to Republican between wave 1 and wave 2 IDs
224345,0,0
388004,0,0
130261,0,0
268971,0,0
204685,0,0
304672,0,0
96727,0,0
540647,0,0
100722,0,0
128235,0,0
472838,0,0
461356,0,0
364609,0,0
147350,0,0
93015,0,0
305453,0,0
345448,0,0
542329,0,0
564386,0,0
436491,0,0
600299,0,0
435194,0,0
152779,0,0
505692,0,0
186214,0,0
609613,0,0
346395,0,0
403721,0,0
173810,0,0
58305,0,0
416234,0,0
610526,0,0
59416,0,0
197466,0,0
308105,0,0
382455,0,0
446487,0,0
137536,0,0
453238,0,0
490832,0,0
87113,0,0
105124,0,0
588954,0,0
452872,0,0
339726,0,0
461876,0,0
538157,0,0
402919,0,0
480731,0,0
528734,0,0
476743,0,0
561757,0,0
421297,0,0
480999,0,0
137250,0,0
14573,0,0
292682,0,0
630477,0,0
522964,0,0
502709,0,0
267377,0,0
13891,0,0
197011,0,0
580774,0,0
509410,0,0
456907,0,0
110776,0,0
559177,0,0
495843,0,0
484226,0,0
362835,0,0
50102,0,0
233241,0,0
580156,0,0
439349,0,0
627512,0,0
567270,0,0
119047,0,0
633940,0,0
340207,0,0
448623,0,0
425359,0,0
110002,0,0
194247,0,0
373618,0,0
614144,0,0
620899,0,0
459351,0,0
536025,0,0
502498,0,0
6597,0,0
206393,0,0
181448,0,0
389869,0,0
404644,0,0
46239,0,0
268326,0,0
374261,0,0
15013,0,0
601397,0,0
